"","organ","immune_annotation","age_group","cell_type_count","organ_cell_count","normalized_prop"
"845","Muscle","Prf1+ natural killer cells","03_months",10,51422,0.000194469293298588
"846","Muscle","Prf1+ natural killer cells","06_months",26,123664,0.000210247121231725
"847","Muscle","Prf1+ natural killer cells","12_months",25,107454,0.000232657695385933
"848","Muscle","Prf1+ natural killer cells","16_months",11,65995,0.0001666792938859
"849","Muscle","Prf1+ natural killer cells","23_months",40,120445,0.000332101789198389
"850","Muscle","Sema6d+ natural killer cells","03_months",17,51422,0.0003305977986076
"851","Muscle","Sema6d+ natural killer cells","06_months",25,123664,0.000202160693492043
"852","Muscle","Sema6d+ natural killer cells","12_months",76,107454,0.000707279393973235
"853","Muscle","Sema6d+ natural killer cells","16_months",43,65995,0.000651564512463065
"854","Muscle","Sema6d+ natural killer cells","23_months",105,120445,0.000871767196645772
"855","Muscle","Stab1+ double negative cells","03_months",3,51422,5.83407879895764e-05
"856","Muscle","Stab1+ double negative cells","06_months",3,123664,2.42592832190452e-05
"857","Muscle","Stab1+ double negative cells","12_months",3,107454,2.79189234463119e-05
"858","Muscle","Stab1+ double negative cells","16_months",5,65995,7.5763315402682e-05
"859","Muscle","Stab1+ double negative cells","23_months",3,120445,2.49076341898792e-05
"860","Muscle","Type 2 innate lymphoid cells","03_months",49,51422,0.000952899537163082
"861","Muscle","Type 2 innate lymphoid cells","06_months",115,123664,0.000929939190063398
"862","Muscle","Type 2 innate lymphoid cells","12_months",115,107454,0.00107022539877529
"863","Muscle","Type 2 innate lymphoid cells","16_months",110,65995,0.001666792938859
"864","Muscle","Type 2 innate lymphoid cells","23_months",106,120445,0.000880069741375732
"865","Muscle","Type 3 innate lymphoid cells","06_months",1,123664,8.08642773968172e-06
"866","Muscle","Type 3 innate lymphoid cells","23_months",5,120445,4.15127236497987e-05
"867","Stomach","CD4+ Ccr9+ T helper cells","03_months",13,115042,0.000113002207889293
"868","Stomach","CD4+ Ccr9+ T helper cells","06_months",4,117374,3.40790975854959e-05
"869","Stomach","CD4+ Ccr9+ T helper cells","12_months",26,189279,0.000137363363077785
"870","Stomach","CD4+ Ccr9+ T helper cells","16_months",14,106778,0.00013111315064901
"871","Stomach","CD4+ Ccr9+ T helper cells","23_months",94,159099,0.000590827095079165
"872","Stomach","CD4+ T follicular helper cells","03_months",11,115042,9.56172528294014e-05
"873","Stomach","CD4+ T follicular helper cells","06_months",11,117374,9.37175183601138e-05
"874","Stomach","CD4+ T follicular helper cells","12_months",38,189279,0.000200761838344454
"875","Stomach","CD4+ T follicular helper cells","16_months",11,106778,0.000103017475509936
"876","Stomach","CD4+ T follicular helper cells","23_months",163,159099,0.00102451932444579
"877","Stomach","CD4+ T regulatory cells","03_months",26,115042,0.000226004415778585
"878","Stomach","CD4+ T regulatory cells","06_months",17,117374,0.000144836164738358
"879","Stomach","CD4+ T regulatory cells","12_months",56,189279,0.000295859551244459
"880","Stomach","CD4+ T regulatory cells","16_months",35,106778,0.000327782876622525
"881","Stomach","CD4+ T regulatory cells","23_months",180,159099,0.00113137103313032
"882","Stomach","CD4+ memory T cells","03_months",198,115042,0.00172111055092923
"883","Stomach","CD4+ memory T cells","06_months",211,117374,0.00179767239763491
"884","Stomach","CD4+ memory T cells","12_months",550,189279,0.00290576344972237
"885","Stomach","CD4+ memory T cells","16_months",427,106778,0.00399895109479481
"886","Stomach","CD4+ memory T cells","23_months",850,159099,0.00534258543422649
"887","Stomach","CD4+ naive T cells","03_months",36,115042,0.000312929191078041
"888","Stomach","CD4+ naive T cells","06_months",17,117374,0.000144836164738358
"889","Stomach","CD4+ naive T cells","12_months",48,189279,0.000253593901066679
"890","Stomach","CD4+ naive T cells","16_months",16,106778,0.000149843600741726
"891","Stomach","CD4+ naive T cells","23_months",97,159099,0.00060968327896467
"892","Stomach","CD8+ Gzmb+ cytotoxic T cells","03_months",18,115042,0.000156464595539021
"893","Stomach","CD8+ Gzmb+ cytotoxic T cells","06_months",3,117374,2.5559323189122e-05
"894","Stomach","CD8+ Gzmb+ cytotoxic T cells","12_months",9,189279,4.75488564500024e-05
"895","Stomach","CD8+ Gzmb+ cytotoxic T cells","16_months",6,106778,5.61913502781472e-05
"896","Stomach","CD8+ Gzmb+ cytotoxic T cells","23_months",9,159099,5.65685516565158e-05
"897","Stomach","CD8+ Gzmk+ cytotoxic T cells","03_months",9,115042,7.82322977695103e-05
"898","Stomach","CD8+ Gzmk+ cytotoxic T cells","06_months",1,117374,8.51977439637398e-06
"899","Stomach","CD8+ Gzmk+ cytotoxic T cells","12_months",56,189279,0.000295859551244459
"900","Stomach","CD8+ Gzmk+ cytotoxic T cells","16_months",22,106778,0.000206034951019873
"901","Stomach","CD8+ Gzmk+ cytotoxic T cells","23_months",169,159099,0.0010622316922168
"902","Stomach","CD8+ naive T cells","03_months",13,115042,0.000113002207889293
"903","Stomach","CD8+ naive T cells","06_months",9,117374,7.66779695673659e-05
"904","Stomach","CD8+ naive T cells","12_months",34,189279,0.000179629013255565
"905","Stomach","CD8+ naive T cells","16_months",12,106778,0.000112382700556294
"906","Stomach","CD8+ naive T cells","23_months",163,159099,0.00102451932444579
"907","Stomach","CD8+ tissue-resident memory T cells","03_months",6,115042,5.21548651796735e-05
"908","Stomach","CD8+ tissue-resident memory T cells","06_months",7,117374,5.96384207746179e-05
"909","Stomach","CD8+ tissue-resident memory T cells","12_months",20,189279,0.00010566412544445
"910","Stomach","CD8+ tissue-resident memory T cells","16_months",12,106778,0.000112382700556294
"911","Stomach","CD8+ tissue-resident memory T cells","23_months",24,159099,0.000150849471084042
"912","Stomach","Car1+ double negative cells","03_months",3,115042,2.60774325898368e-05
"913","Stomach","Car1+ double negative cells","06_months",5,117374,4.25988719818699e-05
"914","Stomach","Car1+ double negative cells","12_months",13,189279,6.86816815388923e-05
"915","Stomach","Car1+ double negative cells","16_months",8,106778,7.49218003708629e-05
"916","Stomach","Car1+ double negative cells","23_months",12,159099,7.5424735542021e-05
"917","Stomach","Epb41l3+ double negative cells","03_months",1,115042,8.69247752994558e-06
"918","Stomach","Epb41l3+ double negative cells","06_months",2,117374,1.7039548792748e-05
"919","Stomach","Epb41l3+ double negative cells","12_months",2,189279,1.0566412544445e-05
"920","Stomach","Epb41l3+ double negative cells","23_months",10,159099,6.28539462850175e-05
"921","Stomach","Gammadelta T cells","03_months",72,115042,0.000625858382156082
"922","Stomach","Gammadelta T cells","06_months",60,117374,0.000511186463782439
"923","Stomach","Gammadelta T cells","12_months",382,189279,0.00201818479598899
"924","Stomach","Gammadelta T cells","16_months",209,106778,0.00195733203468879
"925","Stomach","Gammadelta T cells","23_months",591,159099,0.00371466822544453
"926","Stomach","Liver-resident T cells","03_months",1,115042,8.69247752994558e-06
"927","Stomach","Liver-resident T cells","06_months",3,117374,2.5559323189122e-05
"928","Stomach","Liver-resident T cells","12_months",4,189279,2.11328250888899e-05
"929","Stomach","Liver-resident T cells","16_months",2,106778,1.87304500927157e-05
"930","Stomach","Liver-resident T cells","23_months",9,159099,5.65685516565158e-05
"931","Stomach","Prf1+ natural killer cells","03_months",47,115042,0.000408546443907443
"932","Stomach","Prf1+ natural killer cells","06_months",36,117374,0.000306711878269463
"933","Stomach","Prf1+ natural killer cells","12_months",71,189279,0.000375107645327797
"934","Stomach","Prf1+ natural killer cells","16_months",43,106778,0.000402704676993388
"935","Stomach","Prf1+ natural killer cells","23_months",80,159099,0.00050283157028014
"936","Stomach","Sema6d+ natural killer cells","03_months",98,115042,0.000851862797934667
