"","03_months-Prkdc","03_months-Rag","03_months-WT","06_months-WT","12_months-WT","16_months-Prkdc","16_months-Rag","16_months-WT","23_months-WT","cell_type_id","pval_WT_03_06","qval_WT_03_06","pval_WT_06_12","qval_WT_06_12","pval_WT_12_16","qval_WT_12_16","pval_WT_16_23","qval_WT_16_23","pval_WT_03_16","qval_WT_03_16","pval_WT_06_23","qval_WT_06_23","qval_WT_03_16_corrected","qval_WT_06_23_corrected","LFC_16_over_03_WT","LFC_23_over_06_WT"
"181",0.00732819739926608,0.00513052288851575,0.00469478892032618,0.00581819130295749,0.00548785896265456,0.00252692476566351,0.00269608956387653,0.00242254895726675,0.00414699661293501,"Adipocytes-Stomach",0.0365915089500388,0.049659905003624,0.00607149104282562,0.00678578410668746,6.19625262253475e-20,2.35457599656321e-19,1.65687680843438e-10,4.49723705146475e-10,4.17947312824466e-10,8.82333215962761e-10,1.29742572814623e-08,2.24100807588895e-08,7.80385998164432e-10,2.2800349193158e-08,-0.954246333368424,-0.488403958622705
"182",0.175561898826979,0.208148728444864,0.210713914713693,0.143013704451994,0.249839717340132,0.224033307535187,0.230083176450112,0.230543520268673,0.21775280334407,"Chief cells-Stomach",2.72175059815532e-54,1.29283153412378e-53,0,0,5.55086415372919e-15,1.75777364868091e-14,9.47463109823647e-05,0.000163652718969539,8.57902968639131e-13,2.03751955051794e-12,0,0,1.7985860482873e-12,0,0.129752941387453,0.60653442822097
"183",0.00563812258244771,0.00543290492296491,0.00664075317749961,0.00606878776353712,0.00570421935723175,0.00529092636882435,0.00521471005248234,0.00595646045377705,0.00534318829919508,"Enteric glia-Stomach",1.695219756462e-09,2.92810685207073e-09,2.51634978789209e-09,5.31229399666109e-09,0.518176535307395,0.518176535307395,0.333446728924999,0.422365856638331,0.183988332467276,0.21848614480489,5.07769335953686e-07,6.89115527365717e-07,0.211409670479226,8.14475646261282e-07,-0.156866640348961,-0.18367523084342
"184",0.00288149230487831,0.00192376279614248,0.00204463811487916,0.00335257827425928,0.00173704314650526,0.0020565174464384,0.00136004535714345,0.00133636910054674,0.00190839815339611,"Enteric neurons-Stomach",0.467398442920789,0.493365023083055,1.54464326665731e-05,2.44568517220741e-05,0.138537269215326,0.17548054100608,0.721166170760043,0.76123095802449,0.000183194421353243,0.000290057833809302,4.38445840393496e-08,6.40805459036647e-08,0.000257549804137795,7.48489684671753e-08,-0.613153256780758,-0.812583306514204
"185",0.0375251674570573,0.0263984690958205,0.0364280662243914,0.0360310371387295,0.0448730840432093,0.0644720320889305,0.0517606910936518,0.0537911541020132,0.0495613612562782,"Enteroendocrine cells-Stomach",3.67043434835958e-10,6.97382526188319e-10,4.09207033116588e-11,9.71866703651896e-11,1.29916599593565e-22,6.17103848069436e-22,5.84319482283772e-20,2.22041403267834e-19,4.7018824557929e-53,2.97785888866884e-52,2.83583344372829e-81,1.07761670861675e-80,2.04318164897182e-52,1.16855895353631e-80,0.562305747304197,0.459964702637616
"186",0.101186978149243,0.100776571934227,0.106038538251818,0.0877006041840776,0.0893817183982711,0.0970279452715128,0.0896084285804647,0.109947804756937,0.0929000288982417,"Fibroblasts-Stomach",0.245268004269332,0.274123063595136,5.33569064349026e-06,9.21619292966499e-06,5.39978241270071e-26,1.02595865841314e-24,0.0730253621120324,0.106729375394509,3.81461307180766e-08,7.24776483643455e-08,9.10455767487481e-05,0.000108116622389138,6.60646756639152e-08,0.000131083691825005,0.0522296277473577,0.0830913430381959
"187",0.0934781380025815,0.0961374201222247,0.0771555373560667,0.101177661814832,0.0892735110445689,0.0808496931712588,0.0769229433845942,0.0955442442122769,0.079152761971901,"Gastric epithelial cells-Stomach",3.35264902482682e-31,1.27400662943419e-30,0.00427566802652107,0.00507735578149377,2.55100427715302e-24,2.02568796679879e-23,5.24429739992953e-75,4.98208252993306e-74,2.15264472605321e-20,6.81670829916849e-20,2.71767693041417e-60,8.60597694631155e-60,5.24981724006853e-20,9.55183509366158e-60,0.30839566516252,-0.354175238715961
"188",0.364934376231652,0.313417722715545,0.309871433509452,0.340969611056746,0.269302519271653,0.281291425078983,0.263644116594343,0.239166582835084,0.279112184481598,"Gastric mucous cells-Stomach",9.62389637426559e-16,2.61220044444352e-15,6.566832715383e-84,3.11924553980693e-83,3.19845468441914e-24,2.02568796679879e-23,1.40236568035078e-05,2.66449479266648e-05,3.26571509547671e-202,6.20485868140575e-201,3.79932717328802e-88,1.80468040731181e-87,4.10792583062597e-201,1.62149856145685e-87,-0.373652559825372,-0.288797121156917
"189",0.00304326564017917,0.00353582512328474,0.00379908549446314,0.00404832048269364,0.00320732191852973,0.00305586989323847,0.00309486759284995,0.00375335411259537,0.00339268160794159,"Interstitial cells of Cajal-Stomach",0.0676250226064574,0.0856583619681794,5.01420911001873e-05,6.80499807788257e-05,0.0667324618005446,0.0975320595546421,0.15031256434729,0.203995623042751,0.992632215592377,0.992632215592377,0.00279714015876951,0.00312621547156593,0.992632215592377,0.00363324183666258,-0.0174671444085307,-0.254828610435729
"190",0.0057158423220013,0.00718037287204646,0.00624504762761911,0.00514753918890671,0.00643547166022266,0.00704624788056616,0.00620225003446418,0.00894205663123484,0.00604653026572072,"Lymphatic endothelial cells-Stomach",0.000165522641375568,0.00024191770662583,0.709816850912611,0.749251120407756,1.98148087500243e-06,3.76481366250461e-06,0.000140503751842222,0.000222464273750185,1.84419145821883e-14,5.00566252945112e-14,0.56094287931634,0.592106372611693,4.04368585792937e-14,0.603897964669394,0.517824441539264,0.232182934404886
